id,gender,education,income,work_status,investment_knowledge,financial_satisfaction_score,risk_tolerance,income_to_debt,difficult_to_pay_bills,know_retirement_amount,confidence_paying_unexpected_need,current_credit_record,worry_about_retirement,finances_makes_me_anxious,finances_makes_me_stressed,savings_account,comfort_asking_questions,employer_provided_retirement_account,self_retirement_account,other_investment_accounts,minimum_credit_card_payement_only,too_much_debt,good_at_daily_financial_matters,good_at_math,financial_knowledge,taken_financial_education,how_many_hours_of_financial_education,cat_gender,cat_employer_provided_retirement_account,cat_self_retirement_account,cat_other_investment_accounts,cat_market_participant,market_participant,cat_work_status,cat_current_credit_record,cat_ft_status
2018010011,2,4,5,3,1,8,6,2,2,2,2,4,6,6,4,2,7,1,0,2,1,4,4,6,6,2,0,Female,Yes,Unknown,No,Yes,1,Work part-time for an employer,Good,Other
2018010012,2,6,6,4,1,4,7,3,2,1,4,4,7,7,5,1,4,2,1,2,2,6,5,5,5,1,3,Female,No,Yes,No,Yes,1,Homemaker,Good,Other
2018010013,2,7,4,8,0,5,6,1,3,0,1,5,5,5,4,1,7,1,1,2,2,1,7,7,6,2,0,Female,Yes,Yes,No,Yes,1,Retired,Very good,Other
2018010014,1,6,3,8,0,7,3,2,3,0,1,5,4,5,5,1,7,2,1,1,2,2,6,7,6,2,0,Male,No,Yes,Yes,Yes,1,Retired,Very good,Other
2018010015,2,4,5,8,1,2,4,1,2,0,2,5,7,7,7,1,7,2,2,2,2,1,7,6,3,2,0,Female,No,No,No,No,0,Retired,Very good,Other
2018010016,2,2,5,2,3,2,2,3,2,2,4,3,7,6,5,2,4,1,2,2,0,5,3,4,3,2,0,Female,Yes,No,No,Yes,1,Work full-time for an employer,About average,Full-Time
2018010017,1,6,3,8,3,7,1,3,3,0,1,5,5,4,4,1,5,1,2,2,2,4,5,5,5,2,0,Male,Yes,No,No,Yes,1,Retired,Very good,Other
2018010018,2,2,2,8,0,7,2,3,3,0,2,0,4,1,0,2,6,1,2,2,0,1,4,7,4,2,0,Female,Yes,No,No,Yes,1,Retired,Unknown,Other
2018010019,2,6,4,1,3,5,2,3,2,2,3,5,6,6,5,1,4,1,2,2,1,6,5,6,3,2,0,Female,Yes,No,No,Yes,1,Self-employed,Very good,Other
2018010020,2,2,2,4,0,2,0,3,2,2,2,3,0,5,6,2,6,2,2,2,2,4,7,7,7,2,0,Female,No,No,No,No,0,Homemaker,About average,Other
2018010021,2,5,3,2,0,5,2,1,3,1,1,5,7,2,2,1,7,1,1,2,2,1,7,7,5,2,0,Female,Yes,Yes,No,Yes,1,Work full-time for an employer,Very good,Full-Time
2018010022,2,3,2,8,0,4,1,3,3,0,2,4,4,4,4,1,4,2,2,2,1,5,6,5,5,2,3,Female,No,No,No,No,0,Retired,Good,Other
2018010023,1,7,6,8,3,8,6,3,3,0,2,5,5,4,4,1,6,1,2,2,2,4,7,7,6,2,0,Male,Yes,No,No,Yes,1,Retired,Very good,Other
2018010024,2,4,5,8,3,10,3,3,3,0,1,5,2,2,2,1,7,1,1,2,2,1,7,7,7,2,0,Female,Yes,Yes,No,Yes,1,Retired,Very good,Other
2018010025,2,4,4,4,0,5,4,1,2,2,4,3,5,5,5,2,5,2,2,2,1,7,4,1,3,2,0,Female,No,No,No,No,0,Homemaker,About average,Other
2018010026,2,4,5,2,3,4,2,3,2,2,3,2,5,5,5,1,4,1,2,2,1,6,6,1,5,2,0,Female,Yes,No,No,Yes,1,Work full-time for an employer,Bad,Full-Time
2018010027,2,2,1,7,0,3,3,3,2,2,2,0,4,7,5,2,4,2,2,2,0,1,4,4,2,2,0,Female,No,No,No,No,0,Unemployed or temporarily laid off,Unknown,Other
2018010028,1,2,1,1,0,9,1,2,3,2,1,5,1,1,1,2,7,2,2,2,2,2,7,7,6,2,2,Male,No,No,No,No,0,Self-employed,Very good,Other
2018010029,1,2,4,8,0,8,2,1,3,0,1,5,4,2,1,1,7,1,1,2,2,1,6,2,5,2,0,Male,Yes,Yes,No,Yes,1,Retired,Very good,Other
2018010030,2,4,4,6,1,6,2,3,3,2,2,5,4,4,4,1,4,2,2,2,2,1,4,6,5,2,0,Female,No,No,No,No,0,"Permanently sick, disabled, or unable to work",Very good,Other
2018010031,1,6,7,8,1,4,6,3,2,0,1,4,5,5,5,1,6,2,1,2,1,4,6,7,6,2,0,Male,No,Yes,No,Yes,1,Retired,Good,Other
2018010032,2,7,6,8,3,8,4,1,3,0,1,5,4,4,4,1,7,1,2,2,2,4,6,6,5,2,0,Female,Yes,No,No,Yes,1,Retired,Very good,Other
2018010033,2,4,3,2,0,7,8,3,3,2,2,5,5,6,5,2,6,1,2,2,2,6,4,4,6,2,0,Female,Yes,No,No,Yes,1,Work full-time for an employer,Very good,Full-Time
2018010034,2,5,7,8,3,10,2,1,3,0,1,5,1,1,1,1,7,1,1,1,2,1,7,7,7,1,3,Female,Yes,Yes,Yes,Yes,1,Retired,Very good,Other
2018010035,1,4,5,8,2,5,6,1,2,0,1,4,3,3,3,1,4,2,2,2,1,5,5,5,4,2,0,Male,No,No,No,No,0,Retired,Good,Other
2018010036,2,6,6,8,1,10,3,1,3,0,1,5,1,1,1,1,7,1,1,1,2,1,7,7,7,2,0,Female,Yes,Yes,Yes,Yes,1,Retired,Very good,Other
2018010037,2,2,2,8,0,8,1,3,2,0,2,5,6,7,7,2,7,2,2,2,2,1,7,5,6,2,0,Female,No,No,No,No,0,Retired,Very good,Other
2018010038,2,5,5,2,1,10,10,2,2,2,3,2,7,7,7,2,7,2,2,0,0,7,7,7,7,2,0,Female,No,No,Unknown,No,0,Work full-time for an employer,Bad,Full-Time
2018010039,2,6,2,2,0,6,4,1,3,1,2,4,7,6,6,1,6,2,2,2,0,7,6,5,4,2,0,Female,No,No,No,No,0,Work full-time for an employer,Good,Full-Time
2018010040,1,6,2,6,0,1,1,3,1,1,4,5,1,1,1,1,7,2,2,2,0,7,7,7,7,2,0,Male,No,No,No,No,0,"Permanently sick, disabled, or unable to work",Very good,Other
2018010041,2,2,3,4,1,10,0,3,2,2,4,1,4,6,5,2,7,2,2,2,0,4,7,6,4,2,0,Female,No,No,No,No,0,Homemaker,Very bad,Other
2018010042,2,2,6,4,3,10,7,1,3,0,1,5,1,4,1,1,7,1,2,1,2,1,1,6,7,2,0,Female,Yes,No,Yes,Yes,1,Homemaker,Very good,Other
2018010043,1,4,3,8,3,1,0,2,1,0,3,3,4,7,7,2,6,2,2,2,1,7,7,7,2,2,0,Male,No,No,No,No,0,Retired,About average,Other
2018010044,2,5,2,8,0,1,1,1,1,0,4,3,7,7,6,1,3,2,2,2,1,3,5,5,5,2,0,Female,No,No,No,No,0,Retired,About average,Other
2018010045,1,5,6,2,1,7,7,1,3,1,1,5,5,2,3,1,6,1,0,2,2,1,6,6,6,2,0,Male,Yes,Unknown,No,Yes,1,Work full-time for an employer,Very good,Full-Time
2018010046,2,6,3,5,0,5,4,3,3,0,2,4,6,7,6,2,5,0,2,0,0,6,3,0,5,0,0,Female,Unknown,No,Unknown,No,0,Full-time student,Good,Other
2018010047,1,6,5,2,0,8,6,2,3,1,1,4,6,7,6,1,7,1,1,1,1,6,6,7,6,1,0,Male,Yes,Yes,Yes,Yes,1,Work full-time for an employer,Good,Full-Time
2018010048,1,4,4,5,0,5,5,3,3,1,3,4,4,4,4,0,4,0,0,0,2,4,4,4,4,2,0,Male,Unknown,Unknown,Unknown,No,0,Full-time student,Good,Other
2018010049,2,4,3,8,1,4,1,1,2,0,2,5,6,5,3,1,6,2,1,2,2,3,6,7,5,2,0,Female,No,Yes,No,Yes,1,Retired,Very good,Other
2018010050,2,6,5,2,1,9,3,1,3,1,1,5,5,3,1,1,6,1,1,1,2,1,7,7,5,2,0,Female,Yes,Yes,Yes,Yes,1,Work full-time for an employer,Very good,Full-Time
2018010051,1,6,5,8,1,5,3,1,3,0,1,5,3,5,4,1,6,1,1,1,2,1,6,6,5,2,0,Male,Yes,Yes,Yes,Yes,1,Retired,Very good,Other
2018010052,1,2,5,8,1,6,4,3,3,0,1,5,7,2,2,1,6,1,1,2,2,4,7,7,6,2,0,Male,Yes,Yes,No,Yes,1,Retired,Very good,Other
2018010053,1,6,8,2,1,10,8,3,3,1,1,5,1,1,1,1,3,1,1,1,2,1,7,7,7,2,0,Male,Yes,Yes,Yes,Yes,1,Work full-time for an employer,Very good,Full-Time
2018010054,2,6,7,8,2,8,5,1,3,0,1,5,2,3,5,1,7,2,1,1,2,4,7,6,0,2,0,Female,No,Yes,Yes,Yes,1,Retired,Very good,Other
2018010055,2,3,4,6,3,6,6,3,3,1,3,2,7,5,5,1,7,2,2,0,1,6,4,3,6,1,0,Female,No,No,Unknown,No,0,"Permanently sick, disabled, or unable to work",Bad,Other
2018010056,2,7,3,1,0,2,7,3,2,1,2,3,6,6,5,1,6,2,2,2,1,7,6,7,6,2,0,Female,No,No,No,No,0,Self-employed,About average,Other
2018010057,2,5,3,7,0,5,3,3,2,2,3,5,7,6,6,1,7,2,2,2,0,4,6,7,5,2,0,Female,No,No,No,No,0,Unemployed or temporarily laid off,Very good,Other
2018010058,2,6,7,2,1,8,8,2,2,1,1,5,3,5,1,1,7,1,1,1,2,1,7,6,6,2,0,Female,Yes,Yes,Yes,Yes,1,Work full-time for an employer,Very good,Full-Time
2018010059,2,6,7,1,3,8,6,3,3,1,1,5,4,4,4,1,7,1,1,1,2,1,7,7,7,2,0,Female,Yes,Yes,Yes,Yes,1,Self-employed,Very good,Other
2018010060,2,4,6,3,3,7,4,1,3,2,1,4,2,4,4,1,7,1,1,2,2,3,7,4,5,2,0,Female,Yes,Yes,No,Yes,1,Work part-time for an employer,Good,Other
2018010061,2,6,4,2,0,8,1,1,3,2,1,5,3,5,3,1,7,1,2,2,2,1,7,7,5,2,0,Female,Yes,No,No,Yes,1,Work full-time for an employer,Very good,Full-Time
2018010062,2,4,7,8,3,5,1,3,3,0,1,5,7,6,6,1,7,1,2,2,2,7,6,7,3,2,0,Female,Yes,No,No,Yes,1,Retired,Very good,Other
2018010063,2,5,2,6,0,1,1,2,1,2,4,2,4,7,2,1,5,2,2,2,1,7,5,3,2,2,0,Female,No,No,No,No,0,"Permanently sick, disabled, or unable to work",Bad,Other
2018010064,2,7,8,2,1,8,4,1,3,1,1,5,1,1,1,1,7,1,2,2,2,6,7,7,7,2,0,Female,Yes,No,No,Yes,1,Work full-time for an employer,Very good,Full-Time
2018010065,2,6,3,2,0,3,6,1,2,1,1,3,6,5,4,2,3,2,1,2,0,1,4,4,4,1,3,Female,No,Yes,No,Yes,1,Work full-time for an employer,About average,Full-Time
2018010066,2,7,5,8,3,8,5,1,3,0,1,5,2,2,2,1,6,1,1,1,2,1,7,4,6,2,0,Female,Yes,Yes,Yes,Yes,1,Retired,Very good,Other
2018010067,2,6,3,8,0,6,1,3,3,0,1,5,4,1,1,1,7,2,1,1,2,1,7,7,7,2,0,Female,No,Yes,Yes,Yes,1,Retired,Very good,Other
2018010068,1,5,5,8,3,9,5,3,3,0,1,5,5,5,5,1,7,1,2,2,2,1,7,7,6,2,0,Male,Yes,No,No,Yes,1,Retired,Very good,Other
2018010069,2,5,3,2,0,1,4,2,2,2,3,5,6,7,7,1,5,1,2,2,1,7,5,4,5,2,0,Female,Yes,No,No,Yes,1,Work full-time for an employer,Very good,Full-Time
2018010070,2,6,5,2,0,3,5,3,3,2,2,5,7,7,7,1,1,2,2,2,1,3,4,6,4,2,0,Female,No,No,No,No,0,Work full-time for an employer,Very good,Full-Time
2018010071,2,2,2,3,0,2,3,1,2,2,4,0,5,5,3,2,4,2,2,0,0,1,2,4,2,2,0,Female,No,No,Unknown,No,0,Work part-time for an employer,Unknown,Other
2018010072,2,4,4,8,2,1,3,1,3,0,1,5,7,7,7,1,5,1,1,1,2,3,6,5,5,2,0,Female,Yes,Yes,Yes,Yes,1,Retired,Very good,Other
2018010073,1,2,1,8,2,7,0,0,0,0,0,0,6,4,4,0,4,0,0,0,0,0,0,7,5,0,0,Male,Unknown,Unknown,Unknown,No,0,Retired,Unknown,Other
2018010074,2,6,3,1,3,7,3,1,3,2,2,3,4,2,1,2,5,0,2,2,0,2,7,5,5,2,0,Female,Unknown,No,No,No,0,Self-employed,About average,Other
2018010075,1,4,7,8,3,7,7,3,3,0,1,5,5,5,5,1,5,1,2,1,2,1,4,4,5,2,0,Male,Yes,No,Yes,Yes,1,Retired,Very good,Other
2018010076,2,3,3,4,1,7,2,2,2,0,2,5,7,4,4,1,6,2,2,2,2,4,6,5,6,2,0,Female,No,No,No,No,0,Homemaker,Very good,Other
2018010077,2,2,1,7,0,1,1,0,3,2,4,0,7,7,7,2,0,2,2,2,0,1,5,5,0,2,0,Female,No,No,No,No,0,Unemployed or temporarily laid off,Unknown,Other
2018010078,2,2,4,3,0,9,5,1,3,0,1,5,5,3,4,1,7,2,1,1,2,2,7,6,5,2,0,Female,No,Yes,Yes,Yes,1,Work part-time for an employer,Very good,Other
2018010079,2,4,4,1,0,2,7,1,1,1,4,2,7,6,7,1,1,2,2,2,0,7,3,7,3,2,0,Female,No,No,No,No,0,Self-employed,Bad,Other
2018010080,2,2,4,3,1,2,1,3,1,2,2,4,7,7,4,1,4,2,2,2,1,5,4,3,5,2,0,Female,No,No,No,No,0,Work part-time for an employer,Good,Other
2018010081,2,5,5,3,3,6,1,1,2,2,4,4,7,5,5,1,7,2,2,2,1,4,6,7,6,2,0,Female,No,No,No,No,0,Work part-time for an employer,Good,Other
2018010082,2,7,6,8,1,8,5,3,3,0,1,5,1,1,1,1,7,1,1,1,2,1,7,7,6,2,0,Female,Yes,Yes,Yes,Yes,1,Retired,Very good,Other
2018010083,2,4,3,2,0,4,7,3,2,2,3,3,6,5,5,2,7,2,2,2,0,6,4,3,4,2,0,Female,No,No,No,No,0,Work full-time for an employer,About average,Full-Time
2018010084,2,4,2,3,0,7,6,1,2,2,3,5,4,4,4,1,4,2,1,0,0,5,7,7,5,2,0,Female,No,Yes,Unknown,Yes,1,Work part-time for an employer,Very good,Other
2018010085,2,2,2,8,0,5,1,3,3,0,1,0,1,1,1,2,7,2,2,2,2,1,7,6,5,2,0,Female,No,No,No,No,0,Retired,Unknown,Other
2018010086,2,4,2,6,0,5,8,3,3,2,3,3,5,5,4,1,4,1,2,2,0,3,5,7,4,2,0,Female,Yes,No,No,Yes,1,"Permanently sick, disabled, or unable to work",About average,Other
2018010087,2,4,2,2,0,2,1,3,2,2,1,3,7,7,7,1,1,2,2,2,1,6,7,1,4,2,0,Female,No,No,No,No,0,Work full-time for an employer,About average,Full-Time
2018010088,2,4,1,8,0,5,1,3,3,0,2,5,2,4,4,1,7,2,2,2,1,5,7,7,6,2,0,Female,No,No,No,No,0,Retired,Very good,Other
2018010089,2,4,2,8,0,1,3,3,2,0,4,4,1,4,1,2,6,2,2,2,0,1,6,6,5,2,3,Female,No,No,No,No,0,Retired,Good,Other
2018010090,1,7,6,2,1,9,8,1,3,2,3,4,7,5,4,2,7,2,2,0,1,1,7,7,6,2,0,Male,No,No,Unknown,No,0,Work full-time for an employer,Good,Full-Time
2018010091,2,5,5,7,0,1,5,2,2,1,3,4,7,6,6,1,7,1,2,2,1,7,7,7,5,2,0,Female,Yes,No,No,Yes,1,Unemployed or temporarily laid off,Good,Other
2018010092,2,6,7,2,1,9,9,1,3,2,1,5,4,7,4,1,7,1,2,2,2,2,6,7,5,2,0,Female,Yes,No,No,Yes,1,Work full-time for an employer,Very good,Full-Time
2018010093,2,6,6,8,3,10,10,3,3,0,1,5,5,5,5,1,7,1,2,1,2,1,7,7,7,2,0,Female,Yes,No,Yes,Yes,1,Retired,Very good,Other
2018010094,1,7,8,8,3,9,7,3,3,0,1,5,1,1,1,1,7,1,1,1,2,1,7,7,6,1,3,Male,Yes,Yes,Yes,Yes,1,Retired,Very good,Other
2018010095,1,5,7,1,3,8,7,1,3,1,1,5,2,1,1,1,7,1,2,2,2,1,6,6,5,2,0,Male,Yes,No,No,Yes,1,Self-employed,Very good,Other
2018010096,2,4,3,4,3,7,3,1,2,0,1,5,5,2,5,1,6,1,1,1,2,1,6,5,5,1,0,Female,Yes,Yes,Yes,Yes,1,Homemaker,Very good,Other
2018010097,2,4,2,2,1,3,2,3,2,2,2,5,7,6,4,1,7,1,2,0,1,7,4,5,4,2,0,Female,Yes,No,Unknown,Yes,1,Work full-time for an employer,Very good,Full-Time
2018010098,2,3,2,8,0,4,1,3,2,0,3,4,4,4,2,1,6,1,2,2,2,5,7,6,5,2,0,Female,Yes,No,No,Yes,1,Retired,Good,Other
2018010099,2,6,7,8,3,6,6,3,3,0,1,5,0,2,4,0,4,1,1,1,2,2,7,4,5,2,0,Female,Yes,Yes,Yes,Yes,1,Retired,Very good,Other
2018010100,2,6,8,2,1,8,10,1,3,1,1,4,5,5,1,1,7,1,2,2,2,4,7,6,7,2,3,Female,Yes,No,No,Yes,1,Work full-time for an employer,Good,Full-Time
2018010101,2,6,6,8,3,3,1,3,2,0,3,2,3,6,3,2,4,2,2,2,1,7,6,6,5,2,2,Female,No,No,No,No,0,Retired,Bad,Other
2018010102,2,3,7,5,0,3,5,2,2,1,3,4,7,7,5,1,5,1,0,1,1,3,6,2,4,1,2,Female,Yes,Unknown,Yes,Yes,1,Full-time student,Good,Other
2018010103,2,4,3,7,2,6,4,3,2,1,3,5,5,2,2,1,7,0,0,2,2,1,7,7,6,2,0,Female,Unknown,Unknown,No,No,0,Unemployed or temporarily laid off,Very good,Other
2018010104,1,5,2,8,0,4,2,1,3,0,1,5,5,1,1,1,7,2,1,2,2,1,7,7,6,2,0,Male,No,Yes,No,Yes,1,Retired,Very good,Other
2018010105,1,2,2,6,1,2,1,1,2,2,1,5,7,6,4,2,7,2,2,2,2,5,6,4,6,2,0,Male,No,No,No,No,0,"Permanently sick, disabled, or unable to work",Very good,Other
2018010106,2,4,4,6,1,5,7,1,2,1,2,4,7,7,6,1,7,0,0,0,0,4,6,6,6,2,0,Female,Unknown,Unknown,Unknown,No,0,"Permanently sick, disabled, or unable to work",Good,Other
2018010107,1,4,2,3,0,3,4,3,2,2,3,5,6,5,3,2,6,2,2,2,2,3,7,7,6,2,0,Male,No,No,No,No,0,Work part-time for an employer,Very good,Other
2018010108,1,2,2,8,0,3,6,0,2,0,1,5,6,5,4,1,0,2,2,1,2,4,5,5,0,2,0,Male,No,No,Yes,Yes,1,Retired,Very good,Other
2018010109,2,2,7,4,3,8,8,3,2,2,3,3,7,6,7,2,4,1,2,2,2,1,7,7,7,2,0,Female,Yes,No,No,Yes,1,Homemaker,About average,Other
2018010110,2,4,1,2,3,4,3,3,3,2,4,4,5,7,6,2,5,2,2,2,1,1,5,7,6,2,0,Female,No,No,No,No,0,Work full-time for an employer,Good,Full-Time
2018010111,2,4,5,8,3,10,3,1,3,0,1,5,1,1,1,1,7,2,2,2,2,1,7,7,6,2,0,Female,No,No,No,No,0,Retired,Very good,Other
2018010112,1,1,2,6,3,6,1,1,2,2,4,2,3,2,3,2,4,2,2,2,0,1,7,7,7,2,0,Male,No,No,No,No,0,"Permanently sick, disabled, or unable to work",Bad,Other
2018010113,2,6,6,8,1,9,4,1,3,0,1,5,1,1,1,1,7,1,2,2,2,1,7,6,4,2,0,Female,Yes,No,No,Yes,1,Retired,Very good,Other
2018010114,1,6,4,8,3,5,1,3,3,0,1,4,1,1,1,1,4,1,2,2,2,4,6,6,4,2,0,Male,Yes,No,No,Yes,1,Retired,Good,Other
2018010115,2,5,3,4,1,6,1,1,3,2,1,4,4,4,3,1,7,1,2,2,1,4,7,7,6,1,0,Female,Yes,No,No,Yes,1,Homemaker,Good,Other
2018010116,1,2,4,8,3,5,5,2,2,0,3,4,7,6,6,1,6,2,2,2,2,7,5,5,5,2,0,Male,No,No,No,No,0,Retired,Good,Other
2018010117,2,2,3,8,0,7,1,1,3,0,1,4,6,5,5,1,7,2,2,2,1,4,6,5,5,2,0,Female,No,No,No,No,0,Retired,Good,Other
2018010118,2,4,7,4,2,8,1,1,3,2,1,4,1,1,1,1,7,1,0,2,2,4,7,5,5,2,0,Female,Yes,Unknown,No,Yes,1,Homemaker,Good,Other
2018010119,2,3,3,4,0,5,5,2,1,2,3,1,7,7,7,1,7,2,2,2,2,7,7,7,7,2,0,Female,No,No,No,No,0,Homemaker,Very bad,Other
2018010120,2,6,5,8,0,9,9,1,3,0,1,5,1,1,1,1,7,1,1,1,2,1,7,7,7,2,0,Female,Yes,Yes,Yes,Yes,1,Retired,Very good,Other
2018010121,2,4,6,3,1,7,1,3,3,1,1,5,6,7,6,1,7,1,1,1,2,3,7,6,6,2,0,Female,Yes,Yes,Yes,Yes,1,Work part-time for an employer,Very good,Other
2018010122,2,6,6,2,2,1,10,1,2,1,1,5,7,7,7,1,7,1,1,1,2,5,7,7,5,1,3,Female,Yes,Yes,Yes,Yes,1,Work full-time for an employer,Very good,Full-Time
2018010123,1,5,1,8,0,5,5,2,2,0,3,4,6,3,3,2,7,2,2,2,2,1,6,7,4,2,0,Male,No,No,No,No,0,Retired,Good,Other
2018010124,1,7,4,8,1,4,2,3,2,0,2,5,6,6,2,1,1,1,1,2,2,6,7,7,6,2,0,Male,Yes,Yes,No,Yes,1,Retired,Very good,Other
2018010125,2,2,1,7,0,5,5,1,3,2,4,3,4,7,7,0,4,2,2,2,1,4,4,6,4,2,0,Female,No,No,No,No,0,Unemployed or temporarily laid off,About average,Other
2018010126,2,4,2,8,0,1,3,3,2,0,1,5,7,7,7,2,7,2,2,2,2,4,5,5,4,2,0,Female,No,No,No,No,0,Retired,Very good,Other
2018010127,1,4,3,8,0,7,3,0,3,0,1,5,1,3,2,2,4,2,0,1,2,1,6,6,4,2,0,Male,No,Unknown,Yes,Yes,1,Retired,Very good,Other
2018010128,2,4,5,3,3,4,3,3,2,2,3,3,5,5,4,1,6,1,2,2,0,5,6,5,4,2,0,Female,Yes,No,No,Yes,1,Work part-time for an employer,About average,Other
2018010129,1,4,1,8,0,9,1,3,3,0,3,4,3,5,4,2,4,2,2,2,1,1,5,5,6,2,0,Male,No,No,No,No,0,Retired,Good,Other
2018010130,2,6,7,4,3,9,6,1,3,0,1,5,4,4,4,1,7,1,1,2,2,1,7,7,7,2,0,Female,Yes,Yes,No,Yes,1,Homemaker,Very good,Other
2018010131,1,4,3,2,0,1,0,1,3,2,2,5,4,1,1,1,4,2,2,1,0,1,7,7,5,2,0,Male,No,No,Yes,Yes,1,Work full-time for an employer,Very good,Full-Time
2018010132,2,4,5,3,2,6,3,3,2,1,3,2,3,7,7,1,7,1,2,2,1,7,5,7,5,2,0,Female,Yes,No,No,Yes,1,Work part-time for an employer,Bad,Other
2018010133,2,7,2,3,0,6,2,1,3,2,1,4,5,4,4,1,5,1,1,2,2,1,6,6,4,2,0,Female,Yes,Yes,No,Yes,1,Work part-time for an employer,Good,Other
2018010134,1,1,1,6,0,7,0,3,3,2,0,4,4,4,4,2,4,2,2,2,0,4,4,4,0,2,0,Male,No,No,No,No,0,"Permanently sick, disabled, or unable to work",Good,Other
2018010135,2,4,5,3,0,8,4,1,2,1,1,2,5,6,3,1,7,2,1,2,2,1,7,5,6,2,0,Female,No,Yes,No,Yes,1,Work part-time for an employer,Bad,Other
2018010136,2,5,3,8,3,3,3,3,2,0,2,3,6,5,5,2,7,1,2,2,2,1,7,6,6,2,0,Female,Yes,No,No,Yes,1,Retired,About average,Other
2018010137,2,6,7,2,3,4,1,1,3,2,2,4,1,6,3,1,7,1,2,2,0,6,7,7,7,1,1,Female,Yes,No,No,Yes,1,Work full-time for an employer,Good,Full-Time
2018010138,1,2,5,8,0,9,1,1,3,0,1,5,4,4,4,1,4,1,2,2,2,1,7,7,7,2,0,Male,Yes,No,No,Yes,1,Retired,Very good,Other
2018010139,1,4,7,8,1,5,5,3,2,0,2,5,5,5,4,1,7,1,1,1,2,4,7,7,5,2,0,Male,Yes,Yes,Yes,Yes,1,Retired,Very good,Other
2018010140,2,4,5,1,0,10,7,1,3,1,1,4,1,1,1,1,7,1,1,1,0,4,7,7,7,2,0,Female,Yes,Yes,Yes,Yes,1,Self-employed,Good,Other
2018010141,2,4,5,4,1,6,4,3,3,2,3,2,7,5,5,1,7,1,2,1,1,7,7,7,5,1,3,Female,Yes,No,Yes,Yes,1,Homemaker,Bad,Other
2018010142,2,6,5,2,0,5,6,1,3,1,1,4,5,5,4,1,6,1,1,2,2,2,5,4,4,1,2,Female,Yes,Yes,No,Yes,1,Work full-time for an employer,Good,Full-Time
2018010143,2,6,8,1,1,10,9,3,3,2,1,5,2,2,2,1,7,1,1,1,2,1,7,7,6,2,0,Female,Yes,Yes,Yes,Yes,1,Self-employed,Very good,Other
2018010144,1,2,3,8,1,5,5,3,2,0,4,1,4,4,4,2,7,2,2,2,1,7,7,7,6,1,0,Male,No,No,No,No,0,Retired,Very bad,Other
2018010145,2,3,1,2,0,1,1,3,2,2,4,3,7,4,6,2,1,2,2,0,0,4,4,6,1,2,0,Female,No,No,Unknown,No,0,Work full-time for an employer,About average,Full-Time
2018010146,1,4,1,8,0,6,1,3,3,0,4,4,1,1,1,2,4,2,2,2,2,4,7,7,6,2,0,Male,No,No,No,No,0,Retired,Good,Other
